Customer,Geographic indicator,Months with service,Age in years,Marital status,Years at current address,Household income in thousands,Level of education,Years with current employer,Retired,Gender,Number of people in household,Customer category
ID0813,Zone 2,39,39,Unmarried,19,29,Graduate,6,No,Male,1,Category 2
ID0814,Zone 3,65,39,Married,18,32,Completed High School,15,No,Male,4,Category 3
ID0815,Zone 3,29,31,Unmarried,7,30,Undergraduate,7,No,Female,1,Category 3
ID0816,Zone 3,28,36,Unmarried,8,57,Completed High School,13,No,Female,2,Category 3
ID0817,Zone 1,2,18,Unmarried,0,20,Completed High School,0,No,Male,1,Category 3
ID0818,Zone 3,67,52,Unmarried,13,248,Completed High School,20,No,Female,3,Category 3
ID0819,Zone 3,5,35,Married,9,59,Undergraduate,8,No,Female,5,Category 4
ID0820,Zone 3,48,35,Unmarried,10,24,Completed High School,6,No,Male,1,Category 3
ID0821,Zone 2,10,26,Married,4,25,Did Not Complete High School,4,No,Female,3,Category 1
ID0822,Zone 2,17,28,Unmarried,3,37,Undergraduate,2,No,Female,1,Category 3
ID0823,Zone 1,21,24,Married,0,30,Graduate,0,No,Female,5,Category 4
ID0824,Zone 2,25,51,Unmarried,9,66,Graduate,13,No,Male,2,Category 4
ID0825,Zone 3,44,31,Unmarried,8,16,Did Not Complete High School,3,No,Male,1,Category 1
ID0826,Zone 2,59,49,Unmarried,28,429,Graduate,23,No,Female,2,Category 4
ID0827,Zone 2,11,26,Unmarried,7,20,Completed High School,4,No,Male,1,Category 1
ID0828,Zone 2,50,68,Married,32,262,Undergraduate,28,No,Male,2,Category 3
ID0829,Zone 3,23,25,Married,2,28,Undergraduate,1,No,Female,5,Category 2
ID0830,Zone 1,17,19,Unmarried,0,18,Completed High School,0,No,Female,2,Category 2
ID0831,Zone 1,15,62,Married,3,144,Undergraduate,21,No,Male,2,Category 3
ID0832,Zone 2,68,57,Married,38,33,Did Not Complete High School,9,No,Female,2,Category 2
ID0833,Zone 1,69,42,Married,23,19,Undergraduate,0,No,Female,2,Category 1
ID0834,Zone 1,30,24,Married,3,30,Did Not Complete High School,7,No,Female,5,Category 1
ID0835,Zone 3,22,30,Unmarried,8,41,Completed High School,8,No,Male,1,Category 3
ID0836,Zone 2,10,20,Married,1,20,Completed High School,0,No,Female,4,Category 1
ID0837,Zone 1,72,59,Married,12,65,Undergraduate,21,No,Female,6,Category 2
ID0838,Zone 2,34,24,Married,5,17,Graduate,0,No,Female,2,Category 3
ID0839,Zone 2,43,49,Married,18,66,Did Not Complete High School,22,No,Male,4,Category 3
ID0840,Zone 3,31,37,Married,15,18,Graduate,5,No,Male,3,Category 4
ID0841,Zone 2,6,27,Married,5,26,Graduate,2,No,Male,5,Category 1
ID0842,Zone 2,48,42,Unmarried,21,46,Graduate,4,No,Male,1,Category 3
ID0843,Zone 2,50,25,Unmarried,6,19,Did Not Complete High School,5,No,Male,3,Category 1
ID0844,Zone 3,20,41,Married,19,58,Completed High School,6,No,Female,2,Category 2
ID0845,Zone 3,61,73,Unmarried,10,25,Did Not Complete High School,21,Yes,Male,1,Category 1
ID0846,Zone 2,6,21,Unmarried,0,15,Completed High School,1,No,Female,1,Category 1
ID0847,Zone 2,1,22,Unmarried,2,35,Completed High School,2,No,Male,1,Category 1
ID0848,Zone 1,21,43,Unmarried,13,41,Completed High School,1,No,Female,1,Category 4
ID0849,Zone 3,7,32,Unmarried,1,71,Graduate,3,No,Male,2,Category 4
ID0850,Zone 3,65,56,Married,19,608,Undergraduate,34,No,Female,2,Category 4
ID0851,Zone 1,64,37,Unmarried,10,44,Graduate,9,No,Female,1,Category 2
ID0852,Zone 3,4,30,Unmarried,0,41,Completed High School,0,No,Male,2,Category 3
ID0853,Zone 1,67,45,Married,22,83,Undergraduate,11,No,Female,2,Category 2
ID0854,Zone 2,22,35,Unmarried,12,28,Completed High School,3,No,Male,2,Category 2
ID0855,Zone 3,51,37,Married,17,101,Completed High School,10,No,Female,2,Category 3
ID0856,Zone 1,50,28,Unmarried,6,28,Did Not Complete High School,10,No,Female,1,Category 3
ID0857,Zone 1,31,47,Married,18,35,Completed High School,0,No,Male,2,Category 1
ID0858,Zone 3,4,28,Unmarried,0,39,Completed High School,3,No,Female,1,Category 3
ID0859,Zone 3,60,56,Unmarried,19,51,Graduate,11,No,Male,1,Category 4
ID0860,Zone 3,7,31,Married,12,31,Completed High School,7,No,Female,6,Category 1
ID0861,Zone 3,20,40,Unmarried,2,209,Graduate,15,No,Female,1,Category 2
ID0862,Zone 2,19,23,Married,4,37,Undergraduate,1,No,Female,4,Category 3
ID0863,Zone 3,58,37,Married,5,64,Graduate,8,No,Female,2,Category 4
ID0864,Zone 3,65,64,Unmarried,20,88,Undergraduate,26,No,Female,1,Category 4
ID0865,Zone 3,72,61,Married,34,61,Did Not Complete High School,8,No,Male,3,Category 2
ID0866,Zone 3,8,42,Unmarried,3,66,Undergraduate,10,No,Male,1,Category 4
ID0867,Zone 2,33,40,Married,14,19,Undergraduate,5,No,Male,2,Category 1
ID0868,Zone 3,18,34,Married,4,42,Completed High School,14,No,Female,5,Category 4
ID0869,Zone 2,24,31,Married,6,41,Completed High School,13,No,Male,5,Category 3
ID0870,Zone 3,70,36,Unmarried,8,50,Did Not Complete High School,15,No,Female,1,Category 2
ID0871,Zone 1,7,38,Unmarried,4,70,Graduate,4,No,Male,1,Category 4
ID0872,Zone 3,70,59,Unmarried,27,85,Did Not Complete High School,19,No,Female,1,Category 3
ID0873,Zone 2,20,48,Married,21,45,Undergraduate,2,No,Female,2,Category 3
ID0874,Zone 3,54,32,Married,12,27,Did Not Complete High School,9,No,Male,2,Category 2
ID0875,Zone 3,36,48,Unmarried,28,29,Did Not Complete High School,2,No,Male,1,Category 1
ID0876,Zone 3,71,53,Married,29,48,Graduate,0,No,Female,2,Category 3
ID0877,Zone 1,17,41,Unmarried,4,32,Completed High School,3,No,Male,1,Category 3
ID0878,Zone 1,18,45,Married,17,43,Did Not Complete High School,9,No,Male,3,Category 3
ID0879,Zone 1,16,27,Unmarried,8,16,Doctorate,0,No,Female,1,Category 4
ID0880,Zone 3,38,30,Married,6,22,Completed High School,3,No,Female,2,Category 2
ID0881,Zone 1,52,45,Married,19,40,Undergraduate,9,No,Female,3,Category 4
ID0882,Zone 1,46,48,Married,12,256,Undergraduate,25,No,Male,6,Category 4
ID0883,Zone 2,31,46,Unmarried,23,144,Graduate,13,No,Male,1,Category 3
ID0884,Zone 2,23,31,Unmarried,10,45,Graduate,0,No,Male,2,Category 2
ID0885,Zone 2,38,56,Married,34,34,Completed High School,0,No,Female,3,Category 3
ID0886,Zone 2,50,54,Unmarried,15,248,Undergraduate,28,No,Female,1,Category 3
ID0887,Zone 2,16,49,Unmarried,17,41,Completed High School,5,No,Male,1,Category 4
ID0888,Zone 2,14,34,Married,4,27,Graduate,1,No,Female,2,Category 4
ID0889,Zone 2,30,52,Unmarried,23,17,Undergraduate,3,No,Female,1,Category 2
ID0890,Zone 3,22,47,Married,0,44,Graduate,11,No,Female,3,Category 4
ID0891,Zone 1,38,55,Married,12,135,Completed High School,24,No,Male,4,Category 4
ID0892,Zone 3,59,26,Married,3,41,Graduate,1,No,Female,3,Category 2
ID0893,Zone 2,54,55,Unmarried,1,587,Undergraduate,33,No,Male,1,Category 3
ID0894,Zone 3,9,40,Unmarried,13,38,Graduate,7,No,Female,1,Category 4
ID0895,Zone 1,67,67,Married,38,49,Completed High School,10,No,Female,2,Category 2
ID0896,Zone 2,24,44,Unmarried,19,33,Undergraduate,0,No,Female,2,Category 1
ID0897,Zone 2,12,55,Married,13,36,Did Not Complete High School,5,No,Female,2,Category 2
ID0898,Zone 1,26,47,Unmarried,13,54,Undergraduate,0,No,Male,1,Category 2
ID0899,Zone 2,3,32,Unmarried,4,58,Completed High School,11,No,Male,4,Category 4
ID0900,Zone 2,20,46,Unmarried,2,23,Doctorate,4,No,Female,2,Category 4
ID0901,Zone 3,5,52,Married,0,97,Doctorate,9,No,Male,2,Category 4
ID0902,Zone 3,58,53,Unmarried,19,207,Undergraduate,12,No,Female,1,Category 4
ID0903,Zone 1,54,28,Married,2,21,Undergraduate,3,No,Male,4,Category 1
ID0904,Zone 2,52,39,Unmarried,6,119,Undergraduate,18,No,Female,1,Category 1
ID0905,Zone 2,38,30,Married,10,25,Did Not Complete High School,5,No,Female,4,Category 1
ID0906,Zone 2,19,46,Unmarried,5,59,Undergraduate,17,No,Male,1,Category 1
ID0907,Zone 2,22,33,Married,2,24,Did Not Complete High School,3,No,Male,4,Category 1
ID0908,Zone 1,49,35,Married,15,113,Graduate,4,No,Male,5,Category 2
ID0909,Zone 3,5,39,Unmarried,0,22,Did Not Complete High School,0,No,Female,2,Category 3
ID0910,Zone 2,18,69,Unmarried,28,11,Did Not Complete High School,17,Yes,Male,1,Category 1
ID0911,Zone 3,43,29,Unmarried,4,33,Did Not Complete High School,13,No,Female,4,Category 3
ID0912,Zone 3,17,50,Unmarried,2,205,Doctorate,19,No,Male,1,Category 4
ID0913,Zone 2,37,33,Unmarried,4,41,Undergraduate,8,No,Female,3,Category 2
ID0914,Zone 2,8,39,Unmarried,0,39,Did Not Complete High School,7,No,Female,1,Category 1
ID0915,Zone 2,51,46,Married,8,107,Completed High School,21,No,Female,6,Category 3
ID0916,Zone 1,71,55,Married,11,198,Did Not Complete High School,31,No,Female,3,Category 3
ID0917,Zone 1,56,53,Married,23,100,Doctorate,14,No,Female,2,Category 2
ID0918,Zone 3,70,68,Unmarried,21,1131,Completed High School,45,No,Male,1,Category 3
ID0919,Zone 1,62,53,Unmarried,14,360,Undergraduate,26,No,Female,2,Category 3
ID0920,Zone 1,50,52,Married,22,162,Completed High School,27,No,Female,2,Category 4
ID0921,Zone 3,1,31,Unmarried,3,29,Doctorate,2,No,Female,3,Category 1
ID0922,Zone 3,15,26,Unmarried,1,38,Graduate,1,No,Male,2,Category 4
ID0923,Zone 3,72,55,Married,24,82,Undergraduate,25,No,Female,2,Category 2
ID0924,Zone 2,69,47,Married,10,159,Completed High School,24,No,Male,4,Category 3
ID0925,Zone 2,32,44,Unmarried,10,201,Completed High School,24,No,Male,1,Category 3
ID0926,Zone 1,19,25,Married,6,27,Graduate,0,No,Female,2,Category 3
ID0927,Zone 2,42,54,Unmarried,19,57,Undergraduate,10,No,Female,1,Category 4
ID0928,Zone 3,51,49,Unmarried,29,45,Did Not Complete High School,16,No,Male,1,Category 1
ID0929,Zone 2,32,22,Married,2,17,Completed High School,2,No,Female,4,Category 3
ID0930,Zone 3,26,55,Married,13,61,Did Not Complete High School,26,No,Male,2,Category 3
ID0931,Zone 2,39,44,Married,14,418,Graduate,18,No,Male,2,Category 4
ID0932,Zone 2,72,53,Unmarried,12,152,Completed High School,32,No,Female,1,Category 4
ID0933,Zone 2,4,39,Unmarried,11,38,Graduate,1,No,Male,2,Category 4
ID0934,Zone 2,54,50,Married,5,151,Graduate,20,No,Male,3,Category 3
ID0935,Zone 1,34,40,Married,21,23,Graduate,9,No,Female,3,Category 4
ID0936,Zone 1,20,25,Married,4,33,Graduate,0,No,Female,3,Category 1
ID0937,Zone 3,14,49,Unmarried,4,26,Did Not Complete High School,8,No,Male,1,Category 1
ID0938,Zone 1,61,59,Unmarried,26,89,Did Not Complete High School,40,Yes,Female,1,Category 3
ID0939,Zone 2,4,24,Unmarried,2,25,Graduate,0,No,Male,1,Category 1
ID0940,Zone 3,16,48,Unmarried,25,59,Completed High School,13,No,Male,2,Category 3
ID0941,Zone 1,13,41,Unmarried,9,55,Completed High School,12,No,Female,3,Category 1
ID0942,Zone 2,53,37,Married,18,25,Undergraduate,6,No,Female,2,Category 2
ID0943,Zone 2,58,36,Married,13,39,Completed High School,8,No,Female,7,Category 4
ID0944,Zone 2,25,38,Married,19,56,Did Not Complete High School,19,No,Female,2,Category 3
ID0945,Zone 1,71,61,Married,19,155,Undergraduate,30,No,Male,2,Category 3
ID0946,Zone 1,22,33,Married,13,119,Doctorate,0,No,Female,4,Category 4
ID0947,Zone 1,46,48,Married,15,64,Undergraduate,20,No,Male,2,Category 3
ID0948,Zone 3,66,50,Married,2,333,Doctorate,24,No,Male,2,Category 2
ID0949,Zone 1,69,58,Married,29,26,Completed High School,7,No,Female,3,Category 4
ID0950,Zone 2,38,49,Married,3,33,Graduate,11,No,Male,4,Category 2
ID0951,Zone 3,16,35,Unmarried,7,46,Undergraduate,3,No,Male,1,Category 1
ID0952,Zone 3,44,39,Married,8,41,Completed High School,8,No,Male,4,Category 4
ID0953,Zone 1,50,50,Unmarried,24,31,Did Not Complete High School,8,No,Male,1,Category 3
ID0954,Zone 3,10,23,Unmarried,1,29,Graduate,0,No,Female,1,Category 4
ID0955,Zone 2,7,41,Unmarried,6,94,Completed High School,16,No,Male,1,Category 4
ID0956,Zone 3,71,48,Unmarried,25,288,Undergraduate,19,No,Male,1,Category 1
ID0957,Zone 3,16,39,Married,5,31,Did Not Complete High School,4,No,Female,5,Category 1
ID0958,Zone 3,6,20,Unmarried,0,25,Completed High School,0,No,Female,2,Category 3
ID0959,Zone 2,46,55,Unmarried,24,269,Completed High School,35,No,Male,1,Category 3
ID0960,Zone 3,51,49,Married,13,203,Undergraduate,27,No,Male,4,Category 3
ID0961,Zone 3,5,34,Unmarried,12,22,Completed High School,2,No,Male,2,Category 1
ID0962,Zone 2,49,54,Married,23,25,Completed High School,1,No,Female,4,Category 1
ID0963,Zone 3,49,51,Married,14,222,Doctorate,16,No,Male,2,Category 2
ID0964,Zone 1,26,30,Married,4,76,Undergraduate,7,No,Male,2,Category 1
ID0965,Zone 3,22,39,Unmarried,4,55,Completed High School,17,No,Female,1,Category 4
ID0966,Zone 3,51,45,Married,4,46,Undergraduate,6,No,Male,2,Category 4
ID0967,Zone 1,19,27,Married,7,56,Graduate,1,No,Male,4,Category 4
ID0968,Zone 1,9,36,Unmarried,1,79,Undergraduate,11,No,Female,5,Category 3
ID0969,Zone 3,15,25,Married,0,51,Undergraduate,2,No,Female,2,Category 1
ID0970,Zone 2,57,63,Unmarried,19,61,Did Not Complete High School,27,No,Male,1,Category 3
ID0971,Zone 3,48,45,Unmarried,15,41,Did Not Complete High School,10,No,Female,2,Category 1
ID0972,Zone 2,9,53,Married,20,50,Completed High School,13,No,Female,2,Category 1
ID0973,Zone 1,61,52,Unmarried,21,82,Did Not Complete High School,18,No,Male,1,Category 3
ID0974,Zone 3,72,53,Unmarried,34,108,Did Not Complete High School,23,No,Male,1,Category 3
ID0975,Zone 3,57,60,Unmarried,20,14,Completed High School,27,Yes,Female,1,Category 3
ID0976,Zone 2,57,51,Unmarried,10,46,Did Not Complete High School,13,No,Male,1,Category 2
ID0977,Zone 1,37,60,Married,0,46,Did Not Complete High School,20,No,Male,3,Category 3
ID0978,Zone 3,45,51,Unmarried,13,146,Graduate,16,No,Male,2,Category 1
ID0979,Zone 3,45,39,Married,15,36,Did Not Complete High School,11,No,Female,5,Category 1
ID0980,Zone 2,55,44,Unmarried,24,83,Did Not Complete High School,23,No,Female,1,Category 3
ID0981,Zone 2,24,27,Unmarried,2,17,Undergraduate,3,No,Male,5,Category 2
ID0982,Zone 3,1,20,Unmarried,1,18,Undergraduate,0,No,Male,1,Category 1
ID0983,Zone 2,34,23,Married,3,24,Did Not Complete High School,7,No,Female,4,Category 3
ID0984,Zone 3,14,37,Married,5,48,Undergraduate,1,No,Female,4,Category 1
ID0985,Zone 3,6,32,Unmarried,10,47,Did Not Complete High School,10,No,Male,1,Category 3
ID0986,Zone 3,24,30,Unmarried,0,25,Graduate,5,No,Male,2,Category 4
ID0987,Zone 2,3,26,Married,6,59,Graduate,0,No,Female,3,Category 4
ID0988,Zone 1,4,30,Unmarried,1,45,Graduate,6,No,Male,3,Category 4
ID0989,Zone 1,72,40,Married,19,163,Graduate,15,No,Male,2,Category 2
ID0990,Zone 1,44,56,Unmarried,4,63,Completed High School,6,No,Female,1,Category 3
ID0991,Zone 1,50,43,Unmarried,6,27,Undergraduate,4,No,Male,1,Category 3
ID0992,Zone 2,61,50,Married,16,190,Completed High School,22,No,Female,2,Category 2
ID0993,Zone 1,34,52,Married,2,106,Completed High School,19,No,Male,2,Category 3
ID0994,Zone 3,26,54,Married,30,26,Undergraduate,1,No,Female,2,Category 4
ID0995,Zone 1,15,46,Married,17,63,Doctorate,1,No,Male,2,Category 4
ID0996,Zone 3,10,39,Unmarried,0,27,Undergraduate,0,No,Female,3,Category 1
ID0997,Zone 1,7,34,Unmarried,2,22,Doctorate,5,No,Female,1,Category 1
ID0998,Zone 3,67,59,Unmarried,40,944,Doctorate,33,No,Female,1,Category 4
ID0999,Zone 3,70,49,Unmarried,18,87,Completed High School,22,No,Female,1,Category 3
ID1000,Zone 3,50,36,Married,7,39,Undergraduate,3,No,Female,3,Category 2
